"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Nov-2023","EQ","562.95","564.50","555.15","561.50","559.50","558.95","559.00","629.55","499.35","1,49,09,071","8,33,42,45,035.50","2,47,815"
"21-Nov-2023","EQ","566.00","566.65","561.00","563.75","561.40","561.50","563.11","629.55","499.35","1,42,80,013","8,04,12,32,058.75","2,23,495"
"20-Nov-2023","EQ","564.00","566.80","560.60","563.05","563.50","563.75","564.68","629.55","499.35","1,27,14,585","7,17,96,13,743.45","2,64,832"
"17-Nov-2023","EQ","574.50","574.50","562.10","584.65","562.90","563.05","566.16","629.55","499.35","3,71,73,221","21,04,59,79,976.30","6,82,644"
"16-Nov-2023","EQ","584.70","588.00","582.90","584.70","584.10","584.65","585.40","629.55","499.35","86,22,660","5,04,76,71,165.75","1,79,964"
"15-Nov-2023","EQ","587.25","588.00","582.60","581.35","584.00","584.70","584.93","629.55","499.35","1,13,97,676","6,66,68,56,921.25","2,21,182"
"13-Nov-2023","EQ","581.00","582.50","575.20","581.30","581.30","581.35","578.71","629.55","499.35","1,12,82,362","6,52,91,78,380.05","1,77,978"
"12-Nov-2023","EQ","584.75","584.75","580.10","579.50","580.85","581.30","581.85","629.55","499.35","19,47,722","1,13,32,73,076.55","53,935"
"10-Nov-2023","EQ","577.80","581.00","575.40","578.35","580.25","579.50","578.70","629.55","499.35","67,73,038","3,91,95,67,928.90","1,19,792"
"09-Nov-2023","EQ","581.00","581.85","576.50","580.30","577.60","578.35","578.27","629.55","499.35","1,24,34,363","7,19,04,09,015.15","1,67,584"
"08-Nov-2023","EQ","581.90","582.60","579.00","579.75","580.40","580.30","580.52","629.55","499.35","1,54,34,808","8,96,01,48,835.65","3,91,419"
"07-Nov-2023","EQ","574.80","581.20","572.60","574.35","580.35","579.75","577.36","629.55","499.35","1,79,23,281","10,34,81,72,706.10","4,66,280"
"06-Nov-2023","EQ","582.00","582.50","573.25","578.15","573.95","574.35","575.70","629.55","499.35","1,64,99,138","9,49,84,82,029.95","3,30,138"
"03-Nov-2023","EQ","576.00","579.50","573.45","572.10","579.15","578.15","577.35","629.55","499.35","1,13,71,371","6,56,52,79,355.45","2,05,720"
"02-Nov-2023","EQ","571.10","575.45","567.60","566.40","572.00","572.10","571.18","629.55","499.35","1,11,48,516","6,36,78,49,377.00","2,12,716"
"01-Nov-2023","EQ","566.25","569.65","563.85","565.55","567.30","566.40","567.16","629.55","499.35","1,35,75,575","7,69,95,15,897.65","2,40,220"
"31-Oct-2023","EQ","567.00","569.50","563.15","565.20","565.95","565.55","566.37","629.55","499.35","1,30,39,696","7,38,53,12,631.25","2,36,664"
"30-Oct-2023","EQ","563.00","566.70","556.50","561.15","566.20","565.20","562.29","629.55","499.35","85,93,704","4,83,21,88,898.35","1,91,150"
"27-Oct-2023","EQ","550.00","562.50","550.00","547.00","561.70","561.15","558.49","629.55","499.35","1,04,15,296","5,81,68,77,868.95","2,10,599"
"26-Oct-2023","EQ","551.45","552.90","543.20","556.20","547.00","547.00","547.27","629.55","499.35","1,94,24,825","10,63,06,51,336.60","3,17,445"
"25-Oct-2023","EQ","558.60","560.80","553.60","552.95","556.60","556.20","557.67","629.55","499.35","1,21,34,624","6,76,71,61,161.25","2,62,171"
"23-Oct-2023","EQ","563.10","566.00","551.00","563.10","552.40","552.95","559.35","629.55","499.35","1,18,75,035","6,64,23,19,960.75","2,63,251"
